,Hospital Name,Hospital Type,City,County,State,# of Licensed Beds,# of Staffed Beds,# of ICU Beds,# of Adult ICU Beds,# of Pediatric ICU Beds,Bed Utilization Rate,Potential Increase in Bed Capacity,Average Ventilator Usage
1586,Saint Joseph Berea,Critical Access Hospital,Berea,Madison,Kentucky,25.0,25.0,4,4,0.0,0.4299178,0,2.0
1587,Baptist Health Richmond,Short Term Acute Care Hospital,Richmond,Madison,Kentucky,105.0,60.0,8,8,0.0,0.5547032,45,5.0
1588,Spring View Hospital,Short Term Acute Care Hospital,Lebanon,Marion,Kentucky,75.0,63.0,6,6,0.0,0.1100674,12,2.0
1589,Marshall County Hospital,Critical Access Hospital,Benton,Marshall,Kentucky,25.0,25.0,4,4,0.0,0.3216438,0,2.0
1590,Meadowview Regional Medical Center,Short Term Acute Care Hospital,Maysville,Mason,Kentucky,100.0,100.0,5,5,0.0,0.1674795,0,2.0
1591,Ephraim McDowell James B Haggin Hospital,Critical Access Hospital,Harrodsburg,Mercer,Kentucky,25.0,25.0,4,4,0.0,0.4162192,0,2.0
1592,Monroe County Medical Center,Short Term Acute Care Hospital,Tompkinsville,Monroe,Kentucky,49.0,49.0,9,9,0.0,0.2637406,0,1.0
1593,Saint Joseph Mount Sterling (FKA Mary Chiles Hospital),Short Term Acute Care Hospital,Mount Sterling,Montgomery,Kentucky,42.0,42.0,4,4,0.0,0.4095238,0,2.0
1594,Morgan County ARH Hospital,Critical Access Hospital,West Liberty,Morgan,Kentucky,25.0,25.0,4,4,0.0,0.07638356,0,2.0
1595,Owensboro Health Muhlenberg Community Hospital,Short Term Acute Care Hospital,Greenville,Muhlenberg,Kentucky,90.0,47.0,6,6,0.0,0.2730982,43,2.0
1596,Flaget Memorial Hospital,Short Term Acute Care Hospital,Bardstown,Nelson,Kentucky,40.0,40.0,4,4,0.0,0.4471918,0,2.0
1597,Ohio County Healthcare,Critical Access Hospital,Hartford,Ohio,Kentucky,25.0,25.0,4,4,0.0,0.3448767,0,2.0
1598,Baptist Health La Grange (FKA Baptist Hospital Northeast),Short Term Acute Care Hospital,La Grange,Oldham,Kentucky,90.0,90.0,8,8,0.0,0.193516,0,2.0
1599,Hazard ARH Regional Medical Center,Short Term Acute Care Hospital,Hazard,Perry,Kentucky,358.0,229.0,32,32,0.0,0.6616498,129,20.0
1600,Tug Valley ARH Regional Medical Center (FKA Williamson ARH Hospital),Short Term Acute Care Hospital,South Williamson,Pike,Kentucky,113.0,88.0,6,6,0.0,0.2355542,25,5.0
1601,Pikeville Medical Center,Short Term Acute Care Hospital,Pikeville,Pike,Kentucky,340.0,298.0,79,79,0.0,0.7115128,42,26.0
1602,Lake Cumberland Regional Hospital,Short Term Acute Care Hospital,Somerset,Pulaski,Kentucky,283.0,230.0,38,38,0.0,0.4582489,53,5.0
1603,Rockcastle Regional Hospital,Short Term Acute Care Hospital,Mount Vernon,Rockcastle,Kentucky,26.0,20.0,4,4,0.0,0.5021918,6,2.0
1604,St Claire Regional Medical Center (AKA St Claire HealthCare),Short Term Acute Care Hospital,Morehead,Rowan,Kentucky,149.0,90.0,14,14,0.0,0.4442448,59,7.0
1605,Russell County Hospital,Critical Access Hospital,Russell Springs,Russell,Kentucky,25.0,25.0,2,2,0.0,0.3236164,0,2.0
1606,Georgetown Community Hospital,Short Term Acute Care Hospital,Georgetown,Scott,Kentucky,75.0,75.0,6,6,0.0,0.2040548,0,2.0
1607,UofL Health - Shelbyville Hospital (FKA KentuckyOne Health - Jewish Hospital Shelbyville),Short Term Acute Care Hospital,Shelbyville,Shelby,Kentucky,70.0,30.0,4,4,0.0,0.09643836,40,2.0
1608,The Medical Center at Franklin,Critical Access Hospital,Franklin,Simpson,Kentucky,25.0,25.0,4,4,0.0,0.7493699,0,2.0
1609,Taylor Regional Hospital,Short Term Acute Care Hospital,Campbellsville,Taylor,Kentucky,90.0,90.0,8,8,0.0,0.2852359,0,3.0
1610,Trigg County Hospital,Critical Access Hospital,Cadiz,Trigg,Kentucky,25.0,25.0,4,4,0.0,0.4012055,0,0.0
1611,Methodist Health - Morganfield (FKA Methodist Hospital - Union County),Critical Access Hospital,Morganfield,Union,Kentucky,25.0,25.0,4,4,0.0,0.4620274,0,2.0
1612,TriStar Greenview Regional Hospital,Short Term Acute Care Hospital,Bowling Green,Warren,Kentucky,211.0,162.0,16,16,0.0,0.3498055,49,3.0
1613,The Medical Center at Bowling Green,Short Term Acute Care Hospital,Bowling Green,Warren,Kentucky,337.0,308.0,16,16,12.0,0.7272372,29,10.0
1614,Wayne County Hospital,Critical Access Hospital,Monticello,Wayne,Kentucky,25.0,25.0,4,4,0.0,0.3426849,0,1.0
1615,Bluegrass Community Hospital,Critical Access Hospital,Versailles,Woodford,Kentucky,25.0,25.0,4,4,0.0,0.2550137,0,1.0
1616,Acadia General Hospital (FKA American Legion Hospital),Short Term Acute Care Hospital,Crowley,Acadia,Louisiana,140.0,129.0,4,4,0.0,0.1678725,11,3.0
1617,Oakdale Community Hospital,Short Term Acute Care Hospital,Oakdale,Allen,Louisiana,60.0,49.0,3,3,0.0,0.1615879,11,1.0
1618,Allen Parish Hospital,Short Term Acute Care Hospital,Kinder,Allen,Louisiana,49.0,25.0,4,4,0.0,0.1690959,24,1.0
1619,Our Lady of the Lake Ascension (FKA St Elizabeth Hospital),Short Term Acute Care Hospital,Gonzales,Ascension,Louisiana,78.0,78.0,7,7,0.0,0.3976469,0,2.0
1620,Assumption Community Hospital,Critical Access Hospital,Napoleonville,Assumption,Louisiana,15.0,15.0,3,3,0.0,0.02009133,0,1.0
1621,Bunkie General Hospital (FKA Paces/Bunkie General Hospital),Critical Access Hospital,Bunkie,Avoyelles,Louisiana,25.0,25.0,4,4,0.0,0.256548,0,0.0
1622,Avoyelles Hospital,Short Term Acute Care Hospital,Marksville,Avoyelles,Louisiana,51.0,49.0,2,2,0.0,0.1717081,2,2.0
1623,Beauregard Health System (FKA Beauregard Memorial Hospital),Short Term Acute Care Hospital,Deridder,Beauregard,Louisiana,60.0,60.0,6,6,4.0,0.4309757,0,2.0
1624,Bienville Medical Center,Critical Access Hospital,Arcadia,Bienville,Louisiana,21.0,21.0,4,4,0.0,0.2519243,0,1.0
1625,WK Bossier Health Center,Short Term Acute Care Hospital,Bossier City,Bossier,Louisiana,166.0,124.0,10,10,0.0,0.6506407,42,8.0
1626,Specialists Hospital Shreveport,Short Term Acute Care Hospital,Shreveport,Caddo,Louisiana,15.0,15.0,3,3,0.0,0.4250228,0,0.0
1627,Ochsner LSU Health Shreveport - Academic Medical Center (FKA University Health Shreveport),Short Term Acute Care Hospital,Shreveport,Caddo,Louisiana,452.0,369.0,10,10,8.0,0.7172141,83,11.0
1628,Willis-Knighton Medical Center,Short Term Acute Care Hospital,Shreveport,Caddo,Louisiana,858.0,762.0,74,74,58.0,0.6011434,96,33.0
1629,Lake Charles Memorial Hospital,Short Term Acute Care Hospital,Lake Charles,Calcasieu,Louisiana,351.0,300.0,38,38,23.0,0.4956164,51,5.0
1630,CHRISTUS Ochsner St Patrick Hospital,Short Term Acute Care Hospital,Lake Charles,Calcasieu,Louisiana,230.0,100.0,17,17,0.0,0.7590411,130,8.0
1631,West Calcasieu Cameron Hospital,Short Term Acute Care Hospital,Sulphur,Calcasieu,Louisiana,107.0,107.0,12,12,0.0,0.2281398,0,2.0
1632,CHRISTUS Ochsner Lake Area Hospital,Short Term Acute Care Hospital,Lake Charles,Calcasieu,Louisiana,88.0,88.0,8,8,20.0,0.2383562,0,2.0
1633,Citizens Medical Center,Short Term Acute Care Hospital,Columbia,Caldwell,Louisiana,40.0,40.0,7,7,0.0,0.1258219,0,1.0
1634,Caldwell Memorial Hospital,Short Term Acute Care Hospital,Columbia,Caldwell,Louisiana,47.0,37.0,6,6,0.0,0.1544613,10,0.0
1635,South Cameron Memorial Hospital,Short Term Acute Care Hospital,Cameron,Cameron,Louisiana,49.0,49.0,9,9,0.0,,0,0.0
1636,Claiborne Memorial Medical Center (FKA Homer Memorial Hospital),Short Term Acute Care Hospital,Homer,Claiborne,Louisiana,47.0,37.0,4,4,0.0,0.3663088,10,2.0
1637,DeSoto Regional Health System,Short Term Acute Care Hospital,Mansfield,De Soto,Louisiana,34.0,34.0,6,6,0.0,0.1124093,0,1.0
1638,Womans Hospital,Short Term Acute Care Hospital,Baton Rouge,East Baton Rouge,Louisiana,168.0,228.0,4,4,84.0,0.5701299,-60,2.0
1639,Ochsner Medical Center - Baton Rouge,Short Term Acute Care Hospital,Baton Rouge,East Baton Rouge,Louisiana,152.0,150.0,20,20,9.0,0.4076584,2,4.0
1640,Surgical Specialty Center of Baton Rouge,Short Term Acute Care Hospital,Baton Rouge,East Baton Rouge,Louisiana,16.0,16.0,3,3,0.0,0.177226,0,1.0
1641,The Spine Hospital of Louisiana at the NeuroMedical Center (FKA the Neuromedical Center Surgical Hospital),Short Term Acute Care Hospital,Baton Rouge,East Baton Rouge,Louisiana,23.0,23.0,4,4,0.0,0.2714711,0,0.0
1642,Lane Regional Medical Center,Short Term Acute Care Hospital,Zachary,East Baton Rouge,Louisiana,139.0,113.0,8,8,2.0,0.3025579,26,4.0
1643,Our Lady of the Lake Regional Medical Center,Short Term Acute Care Hospital,Baton Rouge,East Baton Rouge,Louisiana,828.0,773.0,67,67,14.0,0.5927633,55,15.0
1644,Baton Rouge General Medical Center - Mid City Campus,Short Term Acute Care Hospital,Baton Rouge,East Baton Rouge,Louisiana,588.0,271.0,32,32,9.0,0.5924885,317,9.0
1645,East Carroll Parish Hospital,Short Term Acute Care Hospital,Lake Providence,East Carroll,Louisiana,23.0,23.0,4,4,0.0,0.1402025,0,0.0
1646,Villa Feliciana Medical Complex,Short Term Acute Care Hospital,Jackson,East Feliciana,Louisiana,299.0,299.0,52,52,0.0,0.001413178,0,0.0
1647,Mercy Regional Medical Center,Short Term Acute Care Hospital,Ville Platte,Evangeline,Louisiana,109.0,99.0,14,14,0.0,0.3303169,10,2.0
1648,Savoy Medical Center,Short Term Acute Care Hospital,Mamou,Evangeline,Louisiana,176.0,128.0,10,10,0.0,0.06267123,48,2.0
1649,Franklin Medical Center,Short Term Acute Care Hospital,Winnsboro,Franklin,Louisiana,37.0,29.0,6,6,0.0,0.2360888,8,2.0
1650,Iberia Medical Center - Main Campus,Short Term Acute Care Hospital,New Iberia,Iberia,Louisiana,126.0,113.0,11,11,0.0,0.3938659,13,4.0
1651,Jackson Parish Hospital,Critical Access Hospital,Jonesboro,Jackson,Louisiana,25.0,25.0,4,4,0.0,0.121863,0,2.0
1652,East Jefferson General Hospital,Short Term Acute Care Hospital,Metairie,Jefferson,Louisiana,407.0,309.0,29,29,0.0,0.4640777,98,5.0
1653,Ochsner Medical Center - Kenner,Short Term Acute Care Hospital,Kenner,Jefferson,Louisiana,110.0,115.0,16,16,5.0,0.5975462,-5,4.0
1654,West Jefferson Medical Center,Short Term Acute Care Hospital,Marrero,Jefferson,Louisiana,435.0,215.0,12,12,10.0,0.6670119,220,6.0
1655,Ochsner Medical Center - Main Campus,Short Term Acute Care Hospital,New Orleans,Jefferson,Louisiana,911.0,963.0,100,100,96.0,0.642214,-52,21.0
1656,Jennings American Legion Hospital,Short Term Acute Care Hospital,Jennings,Jefferson Davis,Louisiana,49.0,49.0,5,5,0.0,0.5013698,0,2.0
1657,Our Lady of Lourdes Regional Medical Center,Short Term Acute Care Hospital,Lafayette,Lafayette,Louisiana,186.0,331.0,30,30,64.0,0.7629511,-145,7.0
1658,Lafayette General Surgical Hospital,Short Term Acute Care Hospital,Lafayette,Lafayette,Louisiana,10.0,10.0,2,2,0.0,0.07086093,0,1.0
1659,Our Lady of Lourdes Heart Hospital (FKA Heart Hospital of Lafayette),Short Term Acute Care Hospital,Lafayette,Lafayette,Louisiana,32.0,32.0,6,6,0.0,0.5259418,0,2.0
1660,Park Place Surgical Hospital,Short Term Acute Care Hospital,Lafayette,Lafayette,Louisiana,10.0,10.0,2,2,0.0,0.2684931,0,0.0
1661,Lafayette Surgical Specialty Hospital,Short Term Acute Care Hospital,Lafayette,Lafayette,Louisiana,20.0,20.0,4,4,0.0,0.2387671,0,0.0
1662,University Hospital & Clinics (FKA University Medical Center),Short Term Acute Care Hospital,Lafayette,Lafayette,Louisiana,116.0,52.0,10,10,0.0,0.5763962,64,2.0
1663,Lafayette General Medical Center,Short Term Acute Care Hospital,Lafayette,Lafayette,Louisiana,465.0,380.0,40,40,31.0,0.7103629,85,12.0
1664,Thibodaux Regional Medical Center,Short Term Acute Care Hospital,Thibodaux,Lafourche,Louisiana,180.0,130.0,16,16,0.0,0.406765,50,8.0
1665,Ochsner St Anne Hospital,Critical Access Hospital,Raceland,Lafourche,Louisiana,35.0,25.0,3,3,0.0,0.3812603,10,2.0
1666,Lady of the Sea General Hospital,Critical Access Hospital,Cut Off,Lafourche,Louisiana,25.0,23.0,2,2,0.0,0.2702799,2,2.0
1667,Hardtner Medical Center,Critical Access Hospital,Olla,La Salle,Louisiana,35.0,25.0,4,4,0.0,0.3345754,10,2.0
1668,LaSalle General Hospital,Short Term Acute Care Hospital,Jena,La Salle,Louisiana,46.0,30.0,5,5,0.0,0.2606393,16,2.0
1669,Northern Louisiana Medical Center,Short Term Acute Care Hospital,Ruston,Lincoln,Louisiana,165.0,135.0,17,17,11.0,0.2901604,30,2.0
1670,Morehouse General Hospital,Short Term Acute Care Hospital,Bastrop,Morehouse,Louisiana,49.0,39.0,6,6,0.0,0.228451,10,2.0
1671,Natchitoches Regional Medical Center,Short Term Acute Care Hospital,Natchitoches,Natchitoches,Louisiana,96.0,81.0,8,8,0.0,0.2484018,15,2.0
1672,University Medical Center New Orleans (FKA Medical Center of Louisiana at New Orleans and Interim LSU Public Hospital),Short Term Acute Care Hospital,New Orleans,Orleans,Louisiana,446.0,264.0,56,56,0.0,0.7817739,182,10.0
1673,Touro Infirmary,Short Term Acute Care Hospital,New Orleans,Orleans,Louisiana,360.0,260.0,22,22,24.0,0.5905846,100,6.0
1674,Tulane Medical Center,Short Term Acute Care Hospital,New Orleans,Orleans,Louisiana,515.0,235.0,25,25,51.0,0.5178314,280,10.0
1675,St Francis Medical Center,Short Term Acute Care Hospital,Monroe,Ouachita,Louisiana,367.0,367.0,32,32,41.0,0.5489126,0,9.0
1676,Monroe Surgical Hospital,Short Term Acute Care Hospital,Monroe,Ouachita,Louisiana,10.0,10.0,2,2,0.0,0.1249315,0,0.0
1677,St Francis P&S Surgery & Heart Center,Short Term Acute Care Hospital,Monroe,Ouachita,Louisiana,22.0,22.0,4,4,0.0,0.1148522,0,0.0
1678,Glenwood Regional Medical Center,Short Term Acute Care Hospital,West Monroe,Ouachita,Louisiana,278.0,214.0,44,44,6.0,0.6138011,64,10.0
1679,Ochsner LSU Health Shreveport - Monroe Medical Center (FKA University Health Conway),Short Term Acute Care Hospital,Monroe,Ouachita,Louisiana,244.0,93.0,12,12,13.0,0.457521,151,2.0
1680,Pointe Coupee General Hospital,Critical Access Hospital,New Roads,Pointe Coupee,Louisiana,26.0,25.0,4,4,0.0,0.1560548,1,2.0
1681,Alexandria VA Health Care System (AKA Alexandria VA Medical Center),VA Hospital,Pineville,Rapides,Louisiana,54.0,54.0,0,0,,,0,0.0
1682,CHRISTUS St Frances Cabrini Hospital,Short Term Acute Care Hospital,Alexandria,Rapides,Louisiana,293.0,276.0,26,26,20.0,0.5683145,17,10.0
1683,Rapides Regional Medical Center,Short Term Acute Care Hospital,Alexandria,Rapides,Louisiana,328.0,328.0,35,35,35.0,0.6332681,0,16.0
1684,Delhi Hospital & Clinic (FKA Richland Parish Hospital),Critical Access Hospital,Delhi,Richland,Louisiana,25.0,25.0,4,4,0.0,0.1838904,0,0.0
1685,Richardson Medical Center,Short Term Acute Care Hospital,Rayville,Richland,Louisiana,38.0,38.0,2,2,0.0,0.2089402,0,2.0
1686,Sabine Medical Center,Short Term Acute Care Hospital,Many,Sabine,Louisiana,48.0,48.0,8,8,0.0,0.07962329,0,2.0
1687,St Charles Parish Hospital,Short Term Acute Care Hospital,Luling,St. Charles,Louisiana,59.0,39.0,8,8,0.0,0.1775202,20,2.0
1688,St James Parish Hospital,Critical Access Hospital,Lutcher,St. James,Louisiana,25.0,25.0,4,4,0.0,0.3296438,0,2.0
1689,Opelousas General Health System - Main Campus,Short Term Acute Care Hospital,Opelousas,St. Landry,Louisiana,197.0,151.0,22,22,0.0,0.3512111,46,4.0
1690,Ochsner St Mary (FKA Teche Regional Medical Center),Short Term Acute Care Hospital,Morgan City,St. Mary,Louisiana,164.0,130.0,10,10,0.0,0.1214427,34,3.0
1691,St Tammany Parish Hospital,Short Term Acute Care Hospital,Covington,St. Tammany,Louisiana,232.0,188.0,24,24,15.0,0.6839697,44,5.0
1692,Slidell Memorial Hospital,Short Term Acute Care Hospital,Slidell,St. Tammany,Louisiana,223.0,223.0,100,100,8.0,0.4057167,0,4.0
1693,Avala Hospital (FKA Fairway Medical Center),Short Term Acute Care Hospital,Covington,St. Tammany,Louisiana,21.0,21.0,4,4,0.0,0.1750815,0,1.0
1694,Southern Surgical Hospital,Short Term Acute Care Hospital,Slidell,St. Tammany,Louisiana,37.0,37.0,5,5,0.0,0.196816,0,2.0
1695,Ochsner Medical Center - North Shore,Short Term Acute Care Hospital,Slidell,St. Tammany,Louisiana,168.0,150.0,20,20,5.0,0.3362922,18,3.0
1696,Northshore Rehabilitation Hospital (FKA Louisiana Heart Hospital),Short Term Acute Care Hospital,Lacombe,St. Tammany,Louisiana,137.0,137.0,58,58,0.0,0.2595376,0,2.0
1697,Sterling Surgical Hospital (FKA Cypress Pointe Hospital East),Short Term Acute Care Hospital,Slidell,St. Tammany,Louisiana,10.0,10.0,2,2,0.0,0.1591781,0,0.0
1698,Lallie Kemp Regional Medical Center (AKA LSU Health),Critical Access Hospital,Independence,Tangipahoa,Louisiana,24.0,24.0,4,4,0.0,0.1960046,0,1.0
1699,North Oaks Medical Center,Short Term Acute Care Hospital,Hammond,Tangipahoa,Louisiana,330.0,330.0,60,60,14.0,0.4372889,0,4.0
1700,Terrebonne General Medical Center,Short Term Acute Care Hospital,Houma,Terrebonne,Louisiana,321.0,188.0,18,18,8.0,0.5221947,133,7.0
1701,Physicians Medical Center,Short Term Acute Care Hospital,Houma,Terrebonne,Louisiana,30.0,30.0,5,5,0.0,0.05506849,0,1.0
1702,Leonard J Chabert Medical Center,Short Term Acute Care Hospital,Houma,Terrebonne,Louisiana,156.0,66.0,8,8,0.0,0.3011623,90,2.0
1703,Reeves Memorial Medical Center,Critical Access Hospital,Bernice,Union,Louisiana,15.0,15.0,3,3,0.0,0.3437443,0,0.0
1704,Abrom Kaplan Memorial Hospital,Critical Access Hospital,Kaplan,Vermilion,Louisiana,35.0,25.0,4,4,0.0,0.3126575,10,2.0
1705,Abbeville General Hospital,Short Term Acute Care Hospital,Abbeville,Vermilion,Louisiana,60.0,44.0,6,6,0.0,0.3305728,16,3.0
1706,Byrd Regional Hospital,Short Term Acute Care Hospital,Leesville,Vernon,Louisiana,60.0,49.0,7,7,0.0,0.4003914,11,2.0
1707,Our Lady of the Angels Hospital (FKA LSU Health Bogalusa Medical Center),Short Term Acute Care Hospital,Bogalusa,Washington,Louisiana,92.0,36.0,8,8,0.0,0.3725266,56,2.0
1708,Minden Medical Center,Short Term Acute Care Hospital,Minden,Webster,Louisiana,161.0,125.0,10,10,2.0,0.2011919,36,4.0
1709,Springhill Medical Center,Short Term Acute Care Hospital,Springhill,Webster,Louisiana,58.0,46.0,6,6,0.0,0.1510423,12,2.0
1710,West Carroll Memorial Hospital,Short Term Acute Care Hospital,Oak Grove,West Carroll,Louisiana,30.0,30.0,5,5,0.0,0.5494064,0,0.0
1711,West Feliciana Parish Hospital,Critical Access Hospital,Saint Francisville,West Feliciana,Louisiana,25.0,25.0,4,4,0.0,0.0700274,0,2.0
1712,Winn Parish Medical Center,Short Term Acute Care Hospital,Winnfield,Winn,Louisiana,60.0,46.0,5,5,0.0,0.1431527,14,2.0
1713,Central Maine Medical Center,Short Term Acute Care Hospital,Lewiston,Androscoggin,Maine,250.0,221.0,20,20,11.0,0.5089196,29,9.0
1714,St Marys Health System (AKA St Marys Regional Medical Center),Short Term Acute Care Hospital,Lewiston,Androscoggin,Maine,233.0,140.0,14,14,0.0,0.4041879,93,3.0
1715,Cary Medical Center,Short Term Acute Care Hospital,Caribou,Aroostook,Maine,65.0,49.0,6,6,0.0,0.3800391,16,2.0
1716,Northern Maine Medical Center,Short Term Acute Care Hospital,Fort Kent,Aroostook,Maine,49.0,43.0,8,8,0.0,0.4356164,6,2.0
1717,Northern Light AR Gould Hospital (FKA the Aroostook Medical Center),Short Term Acute Care Hospital,Presque Isle,Aroostook,Maine,89.0,43.0,6,6,0.0,0.5694807,46,3.0
1718,Houlton Regional Hospital,Critical Access Hospital,Houlton,Aroostook,Maine,25.0,25.0,4,4,0.0,0.6936986,0,2.0
1719,Bridgton Hospital,Critical Access Hospital,Bridgton,Cumberland,Maine,25.0,25.0,4,4,0.0,0.400548,0,2.0
1720,Northern Light Mercy Hospital - State Street Campus (FKA Mercy Hospital),Short Term Acute Care Hospital,Portland,Cumberland,Maine,166.0,103.0,7,7,0.0,0.4142721,63,2.0
1721,Maine Medical Center (AKA MMC - Bramhall),Short Term Acute Care Hospital,Portland,Cumberland,Maine,637.0,575.0,32,32,31.0,0.7480375,62,15.0
1722,Mid Coast Hospital,Short Term Acute Care Hospital,Brunswick,Cumberland,Maine,93.0,92.0,11,11,0.0,0.6808815,1,3.0
1723,Franklin Memorial Hospital,Short Term Acute Care Hospital,Farmington,Franklin,Maine,70.0,48.0,5,5,0.0,0.360348,22,2.0
1724,Northern Light Blue Hill Hospital,Critical Access Hospital,Blue Hill,Hancock,Maine,25.0,25.0,4,4,0.0,0.3466301,0,1.0
1725,Mount Desert Island Hospital,Critical Access Hospital,Bar Harbor,Hancock,Maine,25.0,25.0,4,4,0.0,0.3939726,0,2.0
1726,Northern Light Maine Coast Hospital,Short Term Acute Care Hospital,Ellsworth,Hancock,Maine,64.0,48.0,6,6,0.0,0.5454338,16,2.0
1727,MaineGeneral Medical Center - Alfond Center for Health (FKA MaineGeneral Medical Center - Augusta Campus),Short Term Acute Care Hospital,Augusta,Kennebec,Maine,287.0,172.0,16,16,0.0,0.8121058,115,3.0
1728,Northern Light Inland Hospital,Short Term Acute Care Hospital,Waterville,Kennebec,Maine,48.0,33.0,6,6,0.0,0.3726858,15,2.0
1729,Pen Bay Medical Center,Short Term Acute Care Hospital,Rockport,Knox,Maine,99.0,81.0,8,8,0.0,0.5556008,18,3.0
1730,LincolnHealth - Miles Campus and Hospital (FKA Miles Memorial Hospital),Short Term Acute Care Hospital,Damariscotta,Lincoln,Maine,25.0,25.0,4,4,0.0,0.4978371,0,0.0
1731,Stephens Memorial Hospital,Critical Access Hospital,Norway,Oxford,Maine,50.0,25.0,4,4,0.0,0.4843956,25,2.0
1732,Rumford Hospital,Critical Access Hospital,Rumford,Oxford,Maine,25.0,25.0,4,4,0.0,0.3878356,0,2.0
1733,Millinocket Regional Hospital,Critical Access Hospital,Millinocket,Penobscot,Maine,25.0,25.0,4,4,0.0,0.268274,0,2.0
1734,Northern Light Eastern Maine Medical Center,Short Term Acute Care Hospital,Bangor,Penobscot,Maine,411.0,313.0,44,44,23.0,0.9110246,98,22.0
1735,Penobscot Valley Hospital,Critical Access Hospital,Lincoln,Penobscot,Maine,25.0,25.0,4,4,0.0,0.1525479,0,1.0
1736,St Joseph Hospital of ME,Short Term Acute Care Hospital,Bangor,Penobscot,Maine,112.0,99.0,7,7,0.0,0.4464923,13,6.0
1737,Northern Light CA Dean Hospital,Critical Access Hospital,Greenville Junction,Piscataquis,Maine,25.0,25.0,4,4,0.0,0.6702466,0,1.0
1738,Northern Light Mayo Hospital (FKA Mayo Regional Hospital),Critical Access Hospital,Dover Foxcroft,Piscataquis,Maine,25.0,25.0,4,4,0.0,0.4630137,0,2.0
1739,Northern Light Sebasticook Valley Hospital,Critical Access Hospital,Pittsfield,Somerset,Maine,25.0,25.0,4,4,0.0,0.3923288,0,2.0
1740,Redington-Fairview General Hospital,Critical Access Hospital,Skowhegan,Somerset,Maine,25.0,25.0,4,4,0.0,0.5083836,0,2.0
1741,Waldo County General Hospital,Critical Access Hospital,Belfast,Waldo,Maine,25.0,25.0,4,4,0.0,0.7158974,0,2.0
1742,Down East Community Hospital,Critical Access Hospital,Machias,Washington,Maine,25.0,25.0,4,4,0.0,0.3586849,0,2.0
1743,Calais Regional Hospital,Critical Access Hospital,Calais,Washington,Maine,25.0,25.0,4,4,0.0,0.3509041,0,2.0
1744,Southern Maine Health Care - Biddeford (AKA SMHC Medical Center - Biddeford),Short Term Acute Care Hospital,Biddeford,York,Maine,150.0,140.0,9,9,0.0,0.4860544,10,4.0
1745,York Hospital,Short Term Acute Care Hospital,York,York,Maine,79.0,66.0,5,5,0.0,0.5364051,13,2.0
1746,UPMC Western Maryland (FKA Western Maryland Regional Medical Center),Short Term Acute Care Hospital,Cumberland,Allegany,Maryland,191.0,200.0,14,14,0.0,0.6803014,-9,6.0
1747,Anne Arundel Medical Center (FKA Anne Arundel Health System),Short Term Acute Care Hospital,Annapolis,Anne Arundel,Maryland,349.0,325.0,20,20,30.0,0.7036325,24,14.0
1748,MedStar Harbor Hospital,Short Term Acute Care Hospital,Baltimore,Baltimore City,Maryland,131.0,129.0,12,12,0.0,0.6892004,2,8.0
1749,UM Baltimore Washington Medical Center,Short Term Acute Care Hospital,Glen Burnie,Anne Arundel,Maryland,285.0,158.0,30,30,0.0,0.7677075,127,10.0
1750,Greater Baltimore Medical Center (AKA GBMC HealthCare),Short Term Acute Care Hospital,Baltimore,Baltimore County,Maryland,257.0,82.0,24,24,30.0,0.7751489,175,10.0
1751,Northwest Hospital,Short Term Acute Care Hospital,Randallstown,Baltimore County,Maryland,190.0,189.0,16,16,0.0,0.6976444,1,6.0
1752,UM St Joseph Medical Center (FKA St Joseph Medical Center),Short Term Acute Care Hospital,Towson,Baltimore County,Maryland,219.0,188.0,28,28,20.0,0.6892598,31,7.0
1753,MedStar Franklin Square Medical Center,Short Term Acute Care Hospital,Baltimore,Baltimore County,Maryland,338.0,162.0,26,26,0.0,0.6809206,176,20.0
1754,CalvertHealth Medical Center (FKA Calvert Memorial Hospital),Short Term Acute Care Hospital,Prince Frederick,Calvert,Maryland,73.0,41.0,4,4,0.0,0.7468573,32,5.0
1755,Carroll Hospital,Short Term Acute Care Hospital,Westminster,Carroll,Maryland,161.0,153.0,12,12,0.0,0.7480527,8,6.0
1756,ChristianaCare - Union Hospital (FKA Union Hospital of Cecil County),Short Term Acute Care Hospital,Elkton,Cecil,Maryland,75.0,72.0,5,5,0.0,0.5511701,3,8.0
1757,University of Maryland Charles Regional Medical Center (FKA Civista Medical Center),Short Term Acute Care Hospital,La Plata,Charles,Maryland,99.0,98.0,10,10,0.0,0.7173889,1,7.0
1758,Frederick Health Hospital (FKA Frederick Regional Health System),Short Term Acute Care Hospital,Frederick,Frederick,Maryland,269.0,281.0,18,18,15.0,0.7186272,-12,16.0
1759,Garrett County Memorial Hospital (AKA Garrett Regional Medical Center),Short Term Acute Care Hospital,Oakland,Garrett,Maryland,26.0,27.0,2,2,0.0,0.5997971,-1,2.0
1760,UM Harford Memorial Hospital,Short Term Acute Care Hospital,Havre De Grace,Harford,Maryland,82.0,82.0,5,5,0.0,0.6765453,0,5.0
1761,UM Upper Chesapeake Medical Center,Short Term Acute Care Hospital,Bel Air,Harford,Maryland,161.0,149.0,14,14,0.0,0.7706353,12,11.0
1762,Howard County General Hospital,Short Term Acute Care Hospital,Columbia,Howard,Maryland,225.0,245.0,16,16,0.0,0.6613922,-20,16.0
